,TOT_REG_CD,ADM_NM,ADM_CD,211009_9시_총생활인구수,211009_13시_총생활인구수,211009_15시_총생활인구수,211012_9시_총생활인구수,211012_13시_총생활인구수,211012_15시_총생활인구수
261,1117056030101 ,구로5동,1117056,420.9929,234.1978,234.1978,346.7954,269.2892,308.4947
262,1117056030201 ,구로5동,1117056,512.3774,175.0284,175.0284,328.4785,245.3531,247.407
263,1117056030301 ,구로5동,1117056,183.5586,116.6212,116.6212,156.3898,127.2856,144.8438
264,1117056030401 ,구로5동,1117056,683.212,311.5164,311.5164,494.4899,493.6206,479.6773
265,1117056030901 ,구로5동,1117056,273.5309,406.7276,406.7276,345.1141,349.287,414.7594
266,1117056031101 ,구로5동,1117056,142.1845,215.8629,215.8629,218.8958,247.6785,238.7502
267,1117056031201 ,구로5동,1117056,909.2977,1257.9756,1257.9756,1143.1153,1251.6017,1214.7447
268,1117056031501 ,구로5동,1117056,10.5898,8.7008,8.7008,9.1543,5.2312,6.536
269,1117056031801 ,구로5동,1117056,368.9119,264.1602,264.1602,323.5903,318.5101,313.2174
270,1117061010006 ,고척1동,1117061,1225.8118,1780.7462,1780.7462,1598.4888,2009.5358,1927.4784
271,1117061010001 ,고척1동,1117061,1177.1513,729.1678,729.1678,843.7296,592.5026,538.3267
272,1117061010003 ,고척1동,1117061,755.9433,1360.8943,1360.8943,896.147,1059.3206,1086.7554
273,1117061010002 ,고척1동,1117061,449.5586,340.4263,340.4263,373.8525,345.7421,326.6713
274,1117061010005 ,고척1동,1117061,175.8852,88.7216,88.7216,127.3787,101.455,104.965
275,1117061010004 ,고척1동,1117061,75.8484,128.2173,128.2173,87.5562,96.5062,88.9758
